,Title,Rating,Designation,Pros,Cons,Date,Position,sentiment,all_features
234,Just ok,2,Current Employee,"very innovative , interesting projects",poor work / life balance,2021, Product Owner ,0,"Just ok very innovative , interesting projects poor work / life balance"
235,Excellent Working Environment,5,"Current Employee, more than 3 years",Flexible Schedule and great leadership.,None at the moment that is relevant mentioning.,2020," Project Engineer in Allen Park, MI",1,Excellent Working Environment Flexible Schedule and great leadership. None at the moment that is relevant mentioning.
236,good company,4,"Current Employee, more than 1 year",work with different people from all over the world,the higher management is changing all the time.,2020," ADAS Algorithm Developer in Troy, MI",1,good company work with different people from all over the world the higher management is changing all the time.
238,good company,5,Current Employee,promote internal evolution in the company,humain relations in productions site social events,2020, Talent Acquisition Manager in Rabat,1,good company promote internal evolution in the company humain relations in productions site social events
239,GOOD PLACE TO LEARN,4,Current Employee,Variety of opportunities to explore and learn.,Sometimes maintaining work life balance is difficult,2020," ADAS Algorithm Developer in Detroit, MI",1,GOOD PLACE TO LEARN Variety of opportunities to explore and learn. Sometimes maintaining work life balance is difficult
240,GOOD PLACE TO LEARN,4,Current Employee,Variety of opportunities to explore and learn.,Sometimes maintaining work life balance is difficult,2020," ADAS Algorithm Developer in Detroit, MI",1,GOOD PLACE TO LEARN Variety of opportunities to explore and learn. Sometimes maintaining work life balance is difficult
241,Away from this place,1,"Former Employee, less than 1 year",Don't even try to think of this place,Everything cons. Away from this place,2021," Manager in Troy, MI",0,Away from this place Don't even try to think of this place Everything cons. Away from this place
242,Good learning experience,4,"Current Employee, more than 3 years",Good place to learn Works on advanced technology in active safety Good benefits and pay,Long hours / poor work life balance,2020," Software Engineer in Troy, MI",1,Good learning experience Good place to learn Works on advanced technology in active safety Good benefits and pay Long hours / poor work life balance
243,Vehicle systems engineer,5,"Former Employee, more than 1 year",Good company to work and explore Next gen technology,"No comments, only thing is no work load balance",2020," Vehicle Systems Engineer in Troy, MI",1,"Vehicle systems engineer Good company to work and explore Next gen technology No comments, only thing is no work load balance"
244,"Great people, questionable leadership",2,"Former Employee, more than 1 year","This review is subjected to the Allen Park office ONLY. Aptiv acquired Control-Tec, who was great and where most of the pros stem from. Note that other offices have completely different cultures/benefits. - Great people to work with, culture is about making sure everyone is on the same page and just wants to build something great. Teamwork is a non-issue. PMs and devs are your partners through and through. - Cross-functional folks and users are amazing and kind people. Very passionate about their work and willing to help you as much as they can, whether it's teaching, including, and giving constructive feedback. - WLB is great, though once in a while a push is needed to deliver, and with take-as-you-need/unlimited vacation, you can't get better than that (Allen Park office only). - Culture events like board/video game nights, whiskey/beer guilds, bbq days, and food truck summers were plentiful at the Allen Park office.","- Management are often at a disconnect with upper management/leadership strategies, which gets worse at IC level. After Aptiv acquisition, product teams including SME experts were unsure/unconfident about the product they were asked to build. Validation and justifying product decisions/directions was a constant sore point between product and upper management. - Be prepared to be the only UX resource across multiple products/PM's. Once the ratio was 1 UX : 7 PMs : 30+ developers. Be prepared to brutally prioritize and deliver what you can. You are also a PM, but the pay won't reflect this. - During COVID-19, Allen Park Aptiv quietly laid people off after leadership made assurances of that not being the case. 2 months later, and right after 6 weeks of furloughs, layoffs ensued. Roles including mine and high-performing software engineers were affected.",2020," User Experience Designer in Allen Park, MI",0,"Great people, questionable leadership This review is subjected to the Allen Park office ONLY. Aptiv acquired Control-Tec, who was great and where most of the pros stem from. Note that other offices have completely different cultures/benefits. - Great people to work with, culture is about making sure everyone is on the same page and just wants to build something great. Teamwork is a non-issue. PMs and devs are your partners through and through. - Cross-functional folks and users are amazing and kind people. Very passionate about their work and willing to help you as much as they can, whether it's teaching, including, and giving constructive feedback. - WLB is great, though once in a while a push is needed to deliver, and with take-as-you-need/unlimited vacation, you can't get better than that (Allen Park office only). - Culture events like board/video game nights, whiskey/beer guilds, bbq days, and food truck summers were plentiful at the Allen Park office. - Management are often at a disconnect with upper management/leadership strategies, which gets worse at IC level. After Aptiv acquisition, product teams including SME experts were unsure/unconfident about the product they were asked to build. Validation and justifying product decisions/directions was a constant sore point between product and upper management. - Be prepared to be the only UX resource across multiple products/PM's. Once the ratio was 1 UX : 7 PMs : 30+ developers. Be prepared to brutally prioritize and deliver what you can. You are also a PM, but the pay won't reflect this. - During COVID-19, Allen Park Aptiv quietly laid people off after leadership made assurances of that not being the case. 2 months later, and right after 6 weeks of furloughs, layoffs ensued. Roles including mine and high-performing software engineers were affected."
